filename,class,city,phase
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.30072_-3.78866.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.58531_-3.80392_grid-i49_grid-j69.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.44064_-4.12472.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.60898_-3.38477.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.35446_-4.31375.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.52277_-4.11638.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.38382_-4.38435.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.87055_-3.58827.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.58169_-3.72388_grid-i68_grid-j68.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.29438_-3.81319.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.57444_-3.61435_grid-i94_grid-j66.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.58531_-3.79549_grid-i51_grid-j69.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.44268_-3.95645.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.49108_-3.76179_grid-i59_grid-j43.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.57081_-3.80813_grid-i48_grid-j65.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.26488_-3.91028.jpg",Green urban areas,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.63605_-3.84604_grid-i39_grid-j83.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.43657_-3.93197.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.88897_-3.63938.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.39544_-3.58177.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.67592_-3.86289_grid-i35_grid-j94.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.17000_-3.66730.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.22987_-3.59674.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.40820_-3.68507.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.64692_-3.95557_grid-i13_grid-j86.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.96781_-3.79055.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.48021_-3.89238_grid-i28_grid-j40.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Forests\madrid,-es_z17_41.02908_-3.72257.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.81859_-3.92816.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.41875_-3.80437.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.43025_-3.75489.jpg",Green urban areas,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.52370_-3.68175_grid-i78_grid-j52.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.60997_-3.46412.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.69435_-4.12139.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.50341_-3.62287.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.43583_-3.62863.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.61442_-3.55028.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.53236_-3.60775.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.50969_-3.88968.jpg",Green urban areas,"madrid, es",training
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.41554_-3.68264.jpg",Green urban areas,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.28446_-3.94628.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.57081_-3.67333_grid-i80_grid-j65.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.11581_-3.28857.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.45069_-3.33615.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.19477_-3.46258.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.60343_-3.63541_grid-i89_grid-j74.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.47612_-3.69549.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.54788_-3.69677.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Industrial, commercial, public, military and private units\madrid,-es_z17_40.30377_-4.06504.jpg","Industrial, commercial, public, military and private units","madrid, es",training
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.35432_-3.77687.jpg",Green urban areas,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.57535_-4.20584.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.61068_-3.77443_grid-i56_grid-j76.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.45192_-3.75209.jpg",Sports and leisure facilities,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.52623_-4.27465.jpg",Forests,"madrid, es",training
"../data/imagery/madrid, es\Water bodies\madrid,-es_z17_40.91874_-3.54389.jpg",Water bodies,"madrid, es",training
"../data/imagery/madrid, es\Forests\madrid,-es_z17_40.50195_-3.73651_grid-i65_grid-j46.jpg",Forests,"madrid, es",validation
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.54907_-3.83762_grid-i41_grid-j59.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Green urban areas\madrid,-es_z17_40.42575_-3.74027.jpg",Green urban areas,"madrid, es",training
"../data/imagery/madrid, es\Agricultural + Semi-natural areas + Wetlands\madrid,-es_z17_40.48745_-3.87974_grid-i31_grid-j42.jpg",Agricultural + Semi-natural areas + Wetlands,"madrid, es",validation
"../data/imagery/madrid, es\Sports and leisure facilities\madrid,-es_z17_40.30497_-3.44830.jpg",Sports and leisure facilities,"madrid, es",training
